V1	Pool number	Sample ID	Barcode Number	SampleID	sampleID	cohort	ID	brain_region	mouse_ID	fastq_names	plate	brain_region_long	age	sex
547	BA35	CA1_plx_45	13	CA1_plx_45	BulkSeq_plx_45	CA1	CA1_plx_45	plx	45	BA35_CA1_plx_45_1	P28	Choroid Plexus	3	Female
548	BA35	CA1_plx_46	14	CA1_plx_46	BulkSeq_plx_46	CA1	CA1_plx_46	plx	46	BA35_CA1_plx_46_1	P28	Choroid Plexus	15	Female
558	BA35	CA1_hi2_37	32	CA1_hi2_37	BulkSeq_hi2_37	CA1	CA1_hi2_37	hi2	37	BA35_CA1_hi2_37_1	P28	Hippocampus (posterior)	3	Female
559	BA36	CA1_plx_49	1	CA1_plx_49	BulkSeq_plx_49	CA1	CA1_plx_49	plx	49	BA36_CA1_plx_49_1	P28	Choroid Plexus	3	Female
560	BA36	CA1_plx_50	2	CA1_plx_50	BulkSeq_plx_50	CA1	CA1_plx_50	plx	50	BA36_CA1_plx_50_1	P28	Choroid Plexus	15	Female
563	BA36	CA1_plx_53	13	CA1_plx_53	BulkSeq_plx_53	CA1	CA1_plx_53	plx	53	BA36_CA1_plx_53_1	P28	Choroid Plexus	3	Female
564	BA36	CA1_plx_54	14	CA1_plx_54	BulkSeq_plx_54	CA1	CA1_plx_54	plx	54	BA36_CA1_plx_54_1	P28	Choroid Plexus	15	Female
567	BA36	CA1_hi2_38	25	CA1_hi2_38	BulkSeq_hi2_38	CA1	CA1_hi2_38	hi2	38	BA36_CA1_hi2_38_1	P28	Hippocampus (posterior)	15	Female
570	BA36	CA1_hi2_41	28	CA1_hi2_41	BulkSeq_hi2_41	CA1	CA1_hi2_41	hi2	41	BA36_CA1_hi2_41_1	P28	Hippocampus (posterior)	3	Female
571	BA36	CA1_hi2_42	29	CA1_hi2_42	BulkSeq_hi2_42	CA1	CA1_hi2_42	hi2	42	BA36_CA1_hi2_42_1	P28	Hippocampus (posterior)	15	Female
574	BA36	CA1_hi2_45	32	CA1_hi2_45	BulkSeq_hi2_45	CA1	CA1_hi2_45	hi2	45	BA36_CA1_hi2_45_1	P28	Hippocampus (posterior)	3	Female
575	BA37	CA1_hi2_46	1	CA1_hi2_46	BulkSeq_hi2_46	CA1	CA1_hi2_46	hi2	46	BA37_CA1_hi2_46_1	P29	Hippocampus (posterior)	15	Female
578	BA37	CA1_hi2_49	4	CA1_hi2_49	BulkSeq_hi2_49	CA1	CA1_hi2_49	hi2	49	BA37_CA1_hi2_49_1	P29	Hippocampus (posterior)	3	Female
579	BA37	CA1_hi2_50	13	CA1_hi2_50	BulkSeq_hi2_50	CA1	CA1_hi2_50	hi2	50	BA37_CA1_hi2_50_1	P29	Hippocampus (posterior)	15	Female
582	BA37	CA1_hi2_53	16	CA1_hi2_53	BulkSeq_hi2_53	CA1	CA1_hi2_53	hi2	53	BA37_CA1_hi2_53_1	P29	Hippocampus (posterior)	3	Female
591	BA38	CA1_hi2_54	1	CA1_hi2_54	BulkSeq_hi2_54	CA1	CA1_hi2_54	hi2	54	BA38_CA1_hi2_54_1	P29	Hippocampus (posterior)	15	Female
597	BA38	CA1_vis_1	15	CA1_vis_1	BulkSeq_vis_1	CA1	CA1_vis_1	vis	1	BA38_CA1_vis_1_1	P29	Visual Cortex	12	Female
601	BA38	CA1_vis_37	27	CA1_vis_37	BulkSeq_vis_37	CA1	CA1_vis_37	vis	37	BA38_CA1_vis_37_1	P29	Visual Cortex	3	Female
602	BA38	CA1_vis_38	28	CA1_vis_38	BulkSeq_vis_38	CA1	CA1_vis_38	vis	38	BA38_CA1_vis_38_1	P29	Visual Cortex	15	Female
605	BA38	CA1_vis_41	31	CA1_vis_41	BulkSeq_vis_41	CA1	CA1_vis_41	vis	41	BA38_CA1_vis_41_1	P29	Visual Cortex	3	Female
606	BA38	CA1_vis_42	32	CA1_vis_42	BulkSeq_vis_42	CA1	CA1_vis_42	vis	42	BA38_CA1_vis_42_1	P29	Visual Cortex	15	Female
610	BA39	CA1_vis_7	13	CA1_vis_7	BulkSeq_vis_7	CA1	CA1_vis_7	vis	7	BA39_CA1_vis_7_1	P29	Visual Cortex	12	Female
